objective,seed,arm,generator,sigma,n_cand,best_b80
func2C,1016,dial,keep,3.0,1000,-0.17732642700898765
func2C,1016,dial,keep,3.0,50,1.3103827287017626e-05
func2C,1016,dial,keep,10.0,1000,0.004764038719460361
func2C,1016,dial,keep,10.0,50,0.005432991556480395
func2C,1016,dial,keep,30.0,1000,0.023623997998223564
func2C,1016,dial,keep,30.0,50,-0.10691660734509145
func2C,1016,dial,keep,100.0,1000,0.0036588317190748565
func2C,1016,dial,keep,100.0,50,-0.08584573565242534
func2C,1016,dial,flip,0.0,1000,-0.2049982195241901
func2C,1016,dial,flip,0.0,50,-0.16874788911821564
func2C,1016,dial,flip,1.0,1000,-0.12332088757396217
func2C,1016,dial,flip,1.0,50,0.017877295332996646
func2C,1016,dial,flip,3.0,1000,-0.004437726353689786
func2C,1016,dial,flip,3.0,50,-0.05635289845556102
func2C,1016,dial,flip,10.0,1000,0.019411785289204543
func2C,1016,dial,flip,10.0,50,0.002661567423259756
func2C,1016,dial,flip,30.0,1000,0.09039419730883574
func2C,1016,dial,flip,30.0,50,-0.011980998746773712
func2C,1016,dial,flip,100.0,1000,0.04583485134469181
func2C,1016,dial,flip,100.0,50,0.004373573128188579
func2C,1016,tpe_shared,own,-1,-1,-0.14418530010346375
func2C,1017,dial,keep,0.0,1000,-0.2063256901957772
func2C,1017,dial,keep,0.0,50,-0.20632447935131243
func2C,1017,dial,keep,1.0,1000,0.0012830312092334754
func2C,1017,dial,keep,1.0,50,-0.1874040392369229
func2C,1017,dial,keep,3.0,1000,0.0008687976504267551
func2C,1017,dial,keep,3.0,50,-0.20588304246563355
func2C,1017,dial,keep,10.0,1000,-0.20579998428850227
func2C,1017,dial,keep,10.0,50,-0.14567913754903739
func2C,1017,dial,keep,30.0,1000,0.01199841656448905
func2C,1017,dial,keep,30.0,50,-0.02945469440633266
func2C,1017,dial,keep,100.0,1000,0.0034577417419595627
func2C,1017,dial,keep,100.0,50,0.011006589360738601
func2C,1017,dial,flip,0.0,1000,-0.2052459289192155
func2C,1017,dial,flip,0.0,50,-0.1882382988547532
func2C,1017,dial,flip,1.0,1000,-0.004334530131354231
func2C,1017,dial,flip,1.0,50,-0.036863242217305026
func2C,1017,dial,flip,3.0,1000,-0.0536411392531476
func2C,1017,dial,flip,3.0,50,-0.03327155997292238
func2C,1017,dial,flip,10.0,1000,0.012292771952351298
func2C,1017,dial,flip,10.0,50,-0.1768822349641756
func2C,1017,dial,flip,30.0,1000,0.011238355147881164
func2C,1017,dial,flip,30.0,50,-0.03680554321234082
func2C,1017,dial,flip,100.0,1000,-0.08089505273690611
func2C,1017,dial,flip,100.0,50,0.012907869513487807
func2C,1017,tpe_shared,own,-1,-1,0.0009412868475078551
func2C,1018,dial,keep,0.0,1000,-0.20632565275111264
func2C,1018,dial,keep,0.0,50,-0.20632028162478896
func2C,1018,dial,keep,1.0,1000,-0.20320004435925804
func2C,1018,dial,keep,1.0,50,-0.2046198070939267
