objective,seed,generator,dedup,n_cand,best_b10,best_b40,best_b80,revisits
func2C,1008,flip,combination,1000,-0.1963898285506293,-0.20229898800085735,-0.20538784470043195,0
func2C,1008,flip,encoding,1000,-0.2022012872110484,-0.20603274573276215,-0.20603274573276215,0
func2C,1008,random,combination,1000,0.05992783239749496,0.04520654623316603,0.04520654623316603,0
func2C,1008,keep,combination,50,-0.20546363981693863,-0.2063190287302144,-0.2063190287302144,0
func2C,1008,keep,combination,200,-0.20626403907621413,-0.2063138058683212,-0.20631837420748203,0
func2C,1008,flip,combination,50,-0.12645543897916595,-0.12645543897916595,-0.20022077443815373,0
func2C,1008,flip,combination,200,-0.18227597413126526,-0.18655900703762804,-0.18655900703762804,0
func2C,1009,keep,combination,1000,-0.20632185992927243,-0.2063251483950958,-0.2063251483950958,0
func2C,1009,keep,encoding,1000,-0.20632036280340507,-0.2063252951769643,-0.2063252951769643,0
func2C,1009,flip,combination,1000,-0.2047392306233165,-0.2047392306233165,-0.2051469766785054,0
func2C,1009,flip,encoding,1000,-0.20452877050303275,-0.2054972452205397,-0.2054972452205397,0
func2C,1009,random,combination,1000,0.033823107809827314,0.023784667027348917,0.008601540123015436,0
func2C,1009,keep,combination,50,-0.20593308819426337,-0.2063240180765309,-0.2063240180765309,0
func2C,1009,keep,combination,200,-0.20615510179728097,-0.2063222673905131,-0.2063222673905131,0
func2C,1009,flip,combination,50,0.005683009498315683,-0.12404607378767415,-0.1918920662790789,0
func2C,1009,flip,combination,200,-0.20626604420783212,-0.20626604420783212,-0.20626604420783212,0
func2C,1010,keep,combination,1000,-0.20631849160974353,-0.2063247795012811,-0.2063254914856726,0
func2C,1010,keep,encoding,1000,-0.20632118711714545,-0.20632536822999564,-0.20632536822999564,0
func2C,1010,flip,combination,1000,-0.20374541758426673,-0.2059377547282383,-0.2059377547282383,0
func2C,1010,flip,encoding,1000,-0.20205608855669938,-0.20387078046621623,-0.20488735636489178,0
func2C,1010,random,combination,1000,-0.08640252568674804,-0.08640252568674804,-0.08640252568674804,0
func2C,1010,keep,combination,50,-0.20278924740934384,-0.2063228191711191,-0.2063228191711191,0
func2C,1010,keep,combination,200,-0.20621478074213262,-0.206324795861155,-0.206324795861155,0
func2C,1010,flip,combination,50,-0.04331045310729924,-0.1972817071228029,-0.1972817071228029,0
func2C,1010,flip,combination,200,-0.16012634383468322,-0.20487911025037858,-0.20487911025037858,0
func2C,1011,keep,combination,1000,-0.20630723521324681,-0.20632416606341947,-0.20632550825741935,0
func2C,1011,keep,encoding,1000,-0.20632530125126905,-0.20632537380031618,-0.20632537380031618,0
func2C,1011,flip,combination,1000,-0.20356795732686278,-0.20356795732686278,-0.20427233559972452,0
func2C,1011,flip,encoding,1000,-0.19446069902841218,-0.20580073335343269,-0.20580073335343269,0
func2C,1011,random,combination,1000,-0.1529116567927834,-0.1529116567927834,-0.1529116567927834,0
func2C,1011,keep,combination,50,-0.2062071763275112,-0.20632451844564398,-0.20632451844564398,0
func2C,1011,keep,combination,200,-0.20630555980124635,-0.20631499512779264,-0.2063178835425315,0
func2C,1011,flip,combination,50,-0.1529116567927834,-0.16499667053819617,-0.16720924759801897,0
func2C,1011,flip,combination,200,-0.1713125516486829,-0.17253384999747798,-0.20594501961476755,0
func2C,1012,keep,combination,1000,-0.2063241937263789,-0.20632472506636654,-0.20632472506636654,0
func2C,1012,keep,encoding,1000,-0.20631372255990832,-0.20632493828931775,-0.20632493828931775,0
func2C,1012,flip,combination,1000,-0.2043292173942583,-0.2043292173942583,-0.20486524091435737,0
func2C,1012,flip,encoding,1000,-0.20115464758516,-0.20610173776391516,-0.20610173776391516,0
func2C,1012,random,combination,1000,0.06545804204333174,-0.10786461713312372,-0.10786461713312372,0
func2C,1012,keep,combination,50,-0.20471597052988882,-0.20622101377136243,-0.20632448309888485,0
func2C,1012,keep,combination,200,-0.20627630077829767,-0.20632346717726283,-0.20632481136057573,0
func2C,1012,flip,combination,50,-0.12509184210351437,-0.19819202786721357,-0.19819202786721357,0
func2C,1012,flip,combination,200,-0.18641590630346533,-0.19106871549815052,-0.19106871549815052,0
func2C,1013,keep,combination,1000,-0.20632352375775986,-0.20632565326026286,-0.20632565326026286,0
func2C,1013,keep,encoding,1000,-0.20632178854643834,-0.206324922312834,-0.2063255237393749,0
func2C,1013,flip,combination,1000,-0.1764159048458968,-0.20375377292046534,-0.20483098057581567,0
func2C,1013,flip,encoding,1000,-0.20331594917560714,-0.20550833960677645,-0.20550833960677645,0
func2C,1013,random,combination,1000,0.07859770078547985,-0.05007850944532941,-0.05007850944532941,0
func2C,1013,keep,combination,50,-0.20233914426609195,-0.20628505052600551,-0.20632047368183365,0
func2C,1013,keep,combination,200,-0.20627601734605916,-0.2063241798332654,-0.2063241798332654,0
func2C,1013,flip,combination,50,-0.021137683302116073,-0.16962979300105172,-0.1827584527974931,0
func2C,1013,flip,combination,200,-0.20571920120113357,-0.20571920120113357,-0.20571920120113357,0
func2C,1014,keep,combination,1000,-0.20632183565103204,-0.20632498667694024,-0.20632507623213087,0
func2C,1014,keep,encoding,1000,-0.2063137825965755,-0.20632436642508853,-0.2063247187836737,0
