objective,seed,generator,sigma,n_cand,best_b80
func2C,1038,keep,1.0,50,-0.20247555691939825
func2C,1038,keep,3.0,1000,-0.19853615452047302
func2C,1038,keep,3.0,50,0.02098346500199897
func2C,1038,keep,10.0,1000,-0.07855986532982502
func2C,1038,keep,10.0,50,0.0030101299379081403
func2C,1038,keep,30.0,1000,-0.16721409883876043
func2C,1038,keep,30.0,50,-0.2059927870618695
func2C,1038,keep,100.0,1000,-0.029404065576589276
func2C,1038,keep,100.0,50,0.06590068965467784
func2C,1038,flip,0.0,1000,-0.20581116551813014
func2C,1038,flip,0.0,50,-0.2054857965387702
func2C,1038,flip,1.0,1000,-0.1333683569410496
func2C,1038,flip,1.0,50,-0.05617119807837954
func2C,1038,flip,3.0,1000,-0.19094286728020715
func2C,1038,flip,3.0,50,-0.01584382806139196
func2C,1038,flip,10.0,1000,0.001315922401805801
func2C,1038,flip,10.0,50,-0.0541945791280362
func2C,1038,flip,30.0,1000,0.004288199720630793
func2C,1038,flip,30.0,50,-0.0642854506747633
func2C,1038,flip,100.0,1000,-0.04249759066952734
func2C,1038,flip,100.0,50,0.004299523818548447
func2C,1039,keep,0.0,1000,-0.20632552153974357
func2C,1039,keep,0.0,50,-0.20631953324109725
func2C,1039,keep,1.0,1000,-0.08608825218188296
func2C,1039,keep,1.0,50,0.02303913743781021
func2C,1039,keep,3.0,1000,-0.13335549069895875
func2C,1039,keep,3.0,50,-0.19716620776690644
func2C,1039,keep,10.0,1000,0.03043901330071404
func2C,1039,keep,10.0,50,0.0329372416617574
func2C,1039,keep,30.0,1000,-0.19754781340331548
func2C,1039,keep,30.0,50,-0.05580682007877667
func2C,1039,keep,100.0,1000,0.03528510216462668
func2C,1039,keep,100.0,50,-0.03717538538702605
func2C,1039,flip,0.0,1000,-0.20482578175641603
func2C,1039,flip,0.0,50,-0.19191124291052442
func2C,1039,flip,1.0,1000,-0.04010778633987529
func2C,1039,flip,1.0,50,-0.05622278403426573
func2C,1039,flip,3.0,1000,-0.17212971421873177
func2C,1039,flip,3.0,50,-0.09661274495385375
func2C,1039,flip,10.0,1000,0.0001604490892923513
func2C,1039,flip,10.0,50,-0.0828894866820987
func2C,1039,flip,30.0,1000,0.02748891490069224
func2C,1039,flip,30.0,50,-0.03746526530170378
func2C,1039,flip,100.0,1000,-0.04450998211446622
func2C,1039,flip,100.0,50,-0.14123740899303083
func2C,1040,keep,0.0,1000,-0.20632550681175435
func2C,1040,keep,0.0,50,-0.20632037917636054
func2C,1040,keep,1.0,1000,-0.20338499251519893
func2C,1040,keep,1.0,50,-0.12332428429071207
func2C,1040,keep,3.0,1000,-0.2028018832527935
func2C,1040,keep,3.0,50,-0.060585556239837135
func2C,1040,keep,10.0,1000,-0.016331195099512863
func2C,1040,keep,10.0,50,0.020950410629875925
func2C,1040,keep,30.0,1000,-0.17120191110978228
func2C,1040,keep,30.0,50,0.025732751021566132
func2C,1040,keep,100.0,1000,-0.026464464268649547
func2C,1040,keep,100.0,50,-0.03606123098057572
func2C,1040,flip,0.0,1000,-0.2041023766409391
func2C,1040,flip,0.0,50,-0.1841269449093043
func2C,1040,flip,1.0,1000,-0.17035013467313534
func2C,1040,flip,1.0,50,0.003095056673858653
func2C,1040,flip,3.0,1000,-0.05121644480447675
func2C,1040,flip,3.0,50,-0.0615583398911721
func2C,1040,flip,10.0,1000,0.02636224705625743
func2C,1040,flip,10.0,50,0.02093421881960926
func2C,1040,flip,30.0,1000,0.04617997697268551
func2C,1040,flip,30.0,50,-0.03927735850733005
func2C,1040,flip,100.0,1000,-0.19387042584978303
func2C,1040,flip,100.0,50,0.04862097575940054
func2C,1041,keep,0.0,1000,-0.20632554245605533
func2C,1041,keep,0.0,50,-0.20632481853653087
func2C,1041,keep,1.0,1000,-0.20624469442271692
func2C,1041,keep,1.0,50,-0.19014911872037082
func2C,1041,keep,3.0,1000,-0.00012962328175458726
func2C,1041,keep,3.0,50,-0.1550625577366516
func2C,1041,keep,10.0,1000,0.001916402021258659
func2C,1041,keep,10.0,50,-0.1736257526658363
func2C,1041,keep,30.0,1000,-0.20486501193328394
func2C,1041,keep,30.0,50,-0.0001558897062724377
func2C,1041,keep,100.0,1000,0.015353870306374598
func2C,1041,keep,100.0,50,0.015353870306374598
func2C,1041,flip,0.0,1000,-0.20335348513822726
func2C,1041,flip,0.0,50,-0.20014234208390516
func2C,1041,flip,1.0,1000,-0.20449717594582967
func2C,1041,flip,1.0,50,-0.02513061608003724
func2C,1041,flip,3.0,1000,-0.05863579092916704
func2C,1041,flip,3.0,50,-0.03150000047318628
func2C,1041,flip,10.0,1000,-0.1014868195820321
func2C,1041,flip,10.0,50,-0.16685426566804218
func2C,1041,flip,30.0,1000,0.005199364865450979
func2C,1041,flip,30.0,50,0.0026199112746706325
func2C,1041,flip,100.0,1000,-0.11596286667303941
func2C,1041,flip,100.0,50,-0.030558494087368826
func2C,1042,keep,0.0,1000,-0.20632533865974673
func2C,1042,keep,0.0,50,-0.20631724157482098
func2C,1042,keep,1.0,1000,-0.20606892962693846
func2C,1042,keep,1.0,50,-0.20186072592749388
func2C,1042,keep,3.0,1000,-0.20553859416540554
func2C,1042,keep,3.0,50,0.05083485993643431
func2C,1042,keep,10.0,1000,0.0007135832309600534
func2C,1042,keep,10.0,50,-0.10419186012953818
func2C,1042,keep,30.0,1000,0.04822185657590728
func2C,1042,keep,30.0,50,-0.14893521487986014
func2C,1042,keep,100.0,1000,0.0011024617070871812
func2C,1042,keep,100.0,50,-0.04281786322410641
func2C,1042,flip,0.0,1000,-0.2060555246990267
func2C,1042,flip,0.0,50,-0.17995739907684097
func2C,1042,flip,1.0,1000,-0.09161528396148969
func2C,1042,flip,1.0,50,-0.10116702286837569
func2C,1042,flip,3.0,1000,0.01183475578889304
func2C,1042,flip,3.0,50,-0.1265960420561447
func2C,1042,flip,10.0,1000,-0.15635917972933328
func2C,1042,flip,10.0,50,0.0003692795529174786
func2C,1042,flip,30.0,1000,-0.11313315819672806
func2C,1042,flip,30.0,50,0.031568297955360605
func2C,1042,flip,100.0,1000,-0.180792478454367
func2C,1042,flip,100.0,50,-0.11061320971116351
func2C,1043,keep,0.0,1000,-0.2063255242667036
func2C,1043,keep,0.0,50,-0.2063209185911735
func2C,1043,keep,1.0,1000,-0.20624988489797288
func2C,1043,keep,1.0,50,-0.20589490759551482
func2C,1043,keep,3.0,1000,-0.18101673248223532
func2C,1043,keep,3.0,50,-0.20492507149738345
func2C,1043,keep,10.0,1000,0.0004209488662739805
func2C,1043,keep,10.0,50,0.02855723636872646
func2C,1043,keep,30.0,1000,-0.1828472058817608
func2C,1043,keep,30.0,50,-0.19121869721743323
func2C,1043,keep,100.0,1000,-0.048907554311765765
func2C,1043,keep,100.0,50,0.022988661789875842
func2C,1043,flip,0.0,1000,-0.2059527288480621
func2C,1043,flip,0.0,50,-0.197790166203916
func2C,1043,flip,1.0,1000,-0.039668240698616276
func2C,1043,flip,1.0,50,-0.006686672331013155
func2C,1043,flip,3.0,1000,-0.12222695512104505
func2C,1043,flip,3.0,50,-0.10256732019890835
func2C,1043,flip,10.0,1000,0.014064218612358381
func2C,1043,flip,10.0,50,0.0003411636810633516
func2C,1043,flip,30.0,1000,-0.03164940751656187
func2C,1043,flip,30.0,50,-0.01949046326465085
func2C,1043,flip,100.0,1000,0.002536067631660444
func2C,1043,flip,100.0,50,-0.15503901315931773
func2C,1044,keep,0.0,1000,-0.20632557436674137
func2C,1044,keep,0.0,50,-0.20632227160617736
func2C,1044,keep,1.0,1000,-0.17146074386639806
func2C,1044,keep,1.0,50,-0.1915689858992326
func2C,1044,keep,3.0,1000,-0.09552456402173305
func2C,1044,keep,3.0,50,-0.17127758916330552
func2C,1044,keep,10.0,1000,0.002431371601183188
func2C,1044,keep,10.0,50,0.04714961520199896
func2C,1044,keep,30.0,1000,-0.10558476430404191
func2C,1044,keep,30.0,50,0.016890878744333843
func2C,1044,keep,100.0,1000,0.006897565672385031
func2C,1044,keep,100.0,50,0.022901723320193072
func2C,1044,flip,0.0,1000,-0.2060667846426829
func2C,1044,flip,0.0,50,-0.19476794708293138
func2C,1044,flip,1.0,1000,-0.049209297159423876
func2C,1044,flip,1.0,50,-0.023481846876639557
func2C,1044,flip,3.0,1000,0.00869518241867167
func2C,1044,flip,3.0,50,-0.1558466605431436
func2C,1044,flip,10.0,1000,-0.10830971692873977
func2C,1044,flip,10.0,50,0.02463337514334079
func2C,1044,flip,30.0,1000,-0.027672986379174168
func2C,1044,flip,30.0,50,-0.08799188334836149
func2C,1044,flip,100.0,1000,0.11841464134576624
func2C,1044,flip,100.0,50,0.015276452685193766
func2C,1045,keep,0.0,1000,-0.20632564754693758
func2C,1045,keep,0.0,50,-0.20631898743894905
func2C,1045,keep,1.0,1000,-0.20363613610276826
func2C,1045,keep,1.0,50,-0.1965360093248072
func2C,1045,keep,3.0,1000,-0.08322149860483663
func2C,1045,keep,3.0,50,-0.13674690540116935
func2C,1045,keep,10.0,1000,0.005049075131644898
func2C,1045,keep,10.0,50,-0.017006036279085125
func2C,1045,keep,30.0,1000,0.021100387369364676
func2C,1045,keep,30.0,50,-0.053160397885867794
func2C,1045,keep,100.0,1000,-0.11581816454620919
func2C,1045,keep,100.0,50,0.0008298204709039213
func2C,1045,flip,0.0,1000,-0.20578785112593484
func2C,1045,flip,0.0,50,-0.19870459558171044
func2C,1045,flip,1.0,1000,-0.18249542505254665
func2C,1045,flip,1.0,50,-0.17395917785163445
func2C,1045,flip,3.0,1000,-0.20605003668360392
func2C,1045,flip,3.0,50,-0.04137647664889303
func2C,1045,flip,10.0,1000,-0.015369304937395129
func2C,1045,flip,10.0,50,0.0014729333586206044
func2C,1045,flip,30.0,1000,-0.020707529262066763
func2C,1045,flip,30.0,50,0.002770632235385752
func2C,1045,flip,100.0,1000,0.047377141484774926
func2C,1045,flip,100.0,50,0.0210579438781021
func2C,1046,keep,0.0,1000,-0.20632531296954718
func2C,1046,keep,0.0,50,-0.20632500371375345
func2C,1046,keep,1.0,1000,-8.362457189260014e-05
func2C,1046,keep,1.0,50,-0.20293769812083587
func2C,1046,keep,3.0,1000,0.005639931206386778
func2C,1046,keep,3.0,50,-0.20616069516367036
func2C,1046,keep,10.0,1000,-0.1929048644241298
func2C,1046,keep,10.0,50,-0.17699101828154906
func2C,1046,keep,30.0,1000,0.02132614193325117
func2C,1046,keep,30.0,50,-0.02870164402635972
func2C,1046,keep,100.0,1000,-0.1542865544898763
func2C,1046,keep,100.0,50,0.021066544351645577
func2C,1046,flip,0.0,1000,-0.19987449937683954
func2C,1046,flip,0.0,50,-0.15601582143965578
func2C,1046,flip,1.0,1000,-0.04777315811180859
func2C,1046,flip,1.0,50,-0.18127685575879351
func2C,1046,flip,3.0,1000,-0.15171467860897117
func2C,1046,flip,3.0,50,0.02068275863304256
func2C,1046,flip,10.0,1000,-0.1928515229319588
func2C,1046,flip,10.0,50,-0.05717907772641383
func2C,1046,flip,30.0,1000,-0.19068082732651256
func2C,1046,flip,30.0,50,-0.00785667604430797
func2C,1046,flip,100.0,1000,0.07313701098863185
func2C,1046,flip,100.0,50,-0.14490833506441764
func2C,1047,keep,0.0,1000,-0.20632475696809544
func2C,1047,keep,0.0,50,-0.20631323690962802
func2C,1047,keep,1.0,1000,-0.20606502307120333
func2C,1047,keep,1.0,50,-0.20235817884349178
func2C,1047,keep,3.0,1000,-0.17606037707601693
func2C,1047,keep,3.0,50,0.0328419553011874
func2C,1047,keep,10.0,1000,0.036349946887956466
func2C,1047,keep,10.0,50,-0.19154025057941204
func2C,1047,keep,30.0,1000,-0.18807799626423977
func2C,1047,keep,30.0,50,-0.18655211802867638
func2C,1047,keep,100.0,1000,-0.15927758888968407
func2C,1047,keep,100.0,50,-0.19273370365392276
func2C,1047,flip,0.0,1000,-0.20530242726779874
func2C,1047,flip,0.0,50,-0.16334929363985426
func2C,1047,flip,1.0,1000,-0.02748892427574779
func2C,1047,flip,1.0,50,-0.14784125078452112
func2C,1047,flip,3.0,1000,-0.20387524087396658
func2C,1047,flip,3.0,50,0.005472756546974688
func2C,1047,flip,10.0,1000,-0.06808778914115093
func2C,1047,flip,10.0,50,0.03100609788074258
func2C,1047,flip,30.0,1000,0.008056045190997512
func2C,1047,flip,30.0,50,0.029801725809441692
func2C,1047,flip,100.0,1000,-0.14616530078431328
func2C,1047,flip,100.0,50,-0.05241904370508991
func2C,1048,keep,0.0,1000,-0.20632562702263657
func2C,1048,keep,0.0,50,-0.20632199046879046
