objective,seed,surrogate,generator,dedup,best_b10,best_b40,best_b80,revisits
func2C,1016,random,random,combination,0.13333729169699038,-0.02690218260117231,-0.09109713562468438,0
func2C,1017,gp,keep,combination,0.056173005095979486,0.030422189459372962,0.01314063722300364,0
func2C,1017,gp,keep,encoding,0.06542584504997055,0.023409786284734366,-0.02344314268874518,0
func2C,1017,gp,flip,combination,0.1564384210373076,0.03627852550508447,-0.11818256866666757,0
func2C,1017,gp,flip,encoding,0.17830035138914738,0.024497462313015764,-0.027236377678414025,0
func2C,1017,rf,keep,combination,0.1680751074895922,0.13775439568341924,-0.03647194653453798,0
func2C,1017,rf,keep,encoding,0.3331876912833267,0.08776757315648469,0.08324666568385782,0
func2C,1017,rf,flip,combination,0.13375597514141255,0.04791996521116384,0.03554653068488872,0
func2C,1017,rf,flip,encoding,0.13223823638780904,-0.005375833306881406,-0.16077851847222166,0
func2C,1017,tpe,own,own,0.08911603285483188,-0.05867895380732309,-0.20402324385688148,0
func2C,1017,random,random,combination,0.297233771130899,0.09150192324277749,0.04850631478261171,0
func2C,1018,gp,keep,combination,-0.13056524505830788,-0.13056524505830788,-0.18433470626138299,0
func2C,1018,gp,keep,encoding,-0.13056524505830788,-0.13056524505830788,-0.19174464223530727,0
func2C,1018,gp,flip,combination,-0.13056524505830788,-0.13056524505830788,-0.20476199268240905,0
func2C,1018,gp,flip,encoding,-0.13056524505830788,-0.13056524505830788,-0.17212068056304675,0
func2C,1018,rf,keep,combination,-0.13056524505830788,-0.20491415127324522,-0.20491415127324522,0
func2C,1018,rf,keep,encoding,-0.14902556933501573,-0.14902556933501573,-0.14902556933501573,0
func2C,1018,rf,flip,combination,-0.13056524505830788,-0.13056524505830788,-0.15026736052869002,0
func2C,1018,rf,flip,encoding,-0.1489974289021147,-0.1489974289021147,-0.1489974289021147,0
func2C,1018,tpe,own,own,0.10858318954135213,-0.1956934643277722,-0.1956934643277722,0
func2C,1018,random,random,combination,-0.13056524505830788,-0.13056524505830788,-0.13056524505830788,0
func2C,1019,gp,keep,combination,0.06352656083301939,-0.026707923077089624,-0.026707923077089624,0
func2C,1019,gp,keep,encoding,0.13206147689321332,0.021346026357823674,0.0035853385499613147,0
func2C,1019,gp,flip,combination,0.22721022677070363,-0.11643518105113455,-0.11643518105113455,0
func2C,1019,gp,flip,encoding,0.19522331179034644,0.15742369968831876,-0.10910780495655152,0
func2C,1019,rf,keep,combination,0.018554591905222184,-0.20410116849263948,-0.20410116849263948,0
func2C,1019,rf,keep,encoding,0.09728981214413167,0.008665995841388652,-0.14133431520106712,0
func2C,1019,rf,flip,combination,0.0808944723026908,0.05639093293556432,0.05639093293556432,0
func2C,1019,rf,flip,encoding,0.11928613911405318,0.10652986426466879,-0.17977116222426454,0
func2C,1019,tpe,own,own,0.145503830001599,0.07825868083349176,0.03896556031877567,0
func2C,1019,random,random,combination,-0.043751432214438134,-0.15740255848741738,-0.15740255848741738,0
